Function,Dimension,Algorithm,Run,Best Score
Reductor,7,PSO,1,3004.585976932921
Reductor,7,PSO,2,2996.3481649685305
Reductor,7,PSO,3,3044.8053848276804
Reductor,7,BEES,1,3010.527508675984
Reductor,7,BEES,2,3003.9542772524856
Reductor,7,BEES,3,3006.105966858535
Reductor,7,FIREFLY,1,1.7976931348623157e+308
Reductor,7,FIREFLY,2,1.7976931348623157e+308
Reductor,7,FIREFLY,3,1.7976931348623157e+308
