Function,Dimension,Algorithm,Run,Best Score
Mishri_Berda,2,PSO,1,-106.76453668961751
Mishri_Berda,2,PSO,2,-106.76453593797909
Mishri_Berda,2,PSO,3,-106.76453576919559
Mishri_Berda,2,BEES,1,-106.76453609433808
Mishri_Berda,2,BEES,2,-106.76453574922421
Mishri_Berda,2,BEES,3,-106.76453619399021
Mishri_Berda,2,FIREFLY,1,-106.764520070283
Mishri_Berda,2,FIREFLY,2,-106.75963009068981
Mishri_Berda,2,FIREFLY,3,-106.76453589628963
